,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_early_stopping,param_l1_ratio,param_max_iter,param_n_iter_no_change,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,0.02879962921142578,0.016665850120116746,0.0015997886657714844,0.0019593329869233124,1e-05,True,0.25,200,5,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 200, 'n_iter_no_change': 5}",0.7013888888888888,0.7569444444444444,0.7638888888888888,0.7692307692307693,0.6503496503496503,0.7283605283605283,0.04596269720791683,129
1,0.029601383209228515,0.016894043317270024,0.0007997035980224609,0.0015994071960449216,1e-05,True,0.25,200,10,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 200, 'n_iter_no_change': 10}",0.6388888888888888,0.6944444444444444,0.7777777777777778,0.7552447552447552,0.7132867132867133,0.715928515928516,0.048527819749925157,146
2,0.039200448989868165,0.01587969050640551,0.002399730682373047,0.0019593721371295443,1e-05,True,0.25,200,20,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 200, 'n_iter_no_change': 20}",0.7777777777777778,0.75,0.5486111111111112,0.7552447552447552,0.7482517482517482,0.7159770784770785,0.08434673366900593,143
3,0.012000370025634765,0.0025298650068526596,0.002400064468383789,0.0031997681516775576,1e-05,True,0.25,500,5,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 500, 'n_iter_no_change': 5}",0.7013888888888888,0.7569444444444444,0.7638888888888888,0.7692307692307693,0.6503496503496503,0.7283605283605283,0.04596269720791683,129
4,0.023200368881225585,0.02045824064094795,0.001599597930908203,0.001959099362168419,1e-05,True,0.25,500,10,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 500, 'n_iter_no_change': 10}",0.6388888888888888,0.6944444444444444,0.7777777777777778,0.7552447552447552,0.7132867132867133,0.715928515928516,0.048527819749925157,146
5,0.04720010757446289,0.015470768653702156,0.0015995025634765625,0.001958982567198981,1e-05,True,0.25,500,20,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 500, 'n_iter_no_change': 20}",0.7777777777777778,0.75,0.5486111111111112,0.7552447552447552,0.7482517482517482,0.7159770784770785,0.08434673366900593,143
6,0.014403867721557616,0.0054229474781508,0.0,0.0,1e-05,True,0.25,1000,5,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 1000, 'n_iter_no_change': 5}",0.7013888888888888,0.7569444444444444,0.7638888888888888,0.7692307692307693,0.6503496503496503,0.7283605283605283,0.04596269720791683,129
7,0.0223996639251709,0.01689640792589033,0.0015985965728759766,0.0019578758936685814,1e-05,True,0.25,1000,10,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 1000, 'n_iter_no_change': 10}",0.6388888888888888,0.6944444444444444,0.7777777777777778,0.7552447552447552,0.7132867132867133,0.715928515928516,0.048527819749925157,146
8,0.05200014114379883,0.00912141150890556,0.001600360870361328,0.003200721740722656,1e-05,True,0.25,1000,20,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.25, 'max_iter': 1000, 'n_iter_no_change': 20}",0.7777777777777778,0.75,0.5486111111111112,0.7552447552447552,0.7482517482517482,0.7159770784770785,0.08434673366900593,143
9,0.02400069236755371,0.018066501161841105,0.0007998466491699219,0.0015996932983398438,1e-05,True,0.5,200,5,"{'alpha': 1e-05, 'early_stopping': True, 'l1_ratio': 0.5, 'max_iter': 200, 'n_iter_no_change': 5}",0.6875,0.7430555555555556,0.7638888888888888,0.7552447552447552,0.6783216783216783,0.7256021756021755,0.0355988668995878,132
